"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
-22.7799,0.048194,-0.85806,-1.2266,-0.81667,400,
-34.66,0.074775,-0.91868,-1.1122,-1.3952,,
-46.0762,0.10046,-1.0108,-0.95217,-0.74203,,
-56.6809,0.12438,-0.96648,-0.99402,-0.82534,,
-65.9191,0.14569,-0.85795,-0.87139,-0.60937,,
-73.6086,0.16368,-0.66166,-0.7579,-0.43871,,
-79.1874,0.17776,-0.57178,-0.53858,-0.25174,,
-82.5081,0.18752,-0.50187,-0.35063,0.40145,,
-83.7725,0.1927,-0.30491,-0.4505,1.9882,,
-82.7282,0.19324,0.040348,-0.10016,2.7981,,
-79.7061,0.18924,0.55655,0.537,0.899,,
-74.3997,0.181,0.46243,1.0602,-1.3064,,
-66.9209,0.16892,-0.15777,1.371,-0.06535,,
-58.3733,0.15359,-0.16493,1.6531,1.8007,,
-49.0476,0.13563,0.70611,1.9511,2.3001,,
-38.7712,0.11575,1.4683,1.8458,2.139,,
-27.7084,0.094686,1.3859,1.9969,2.004,,
-16.2204,0.073132,0.93958,2.603,1.7704,,
-5.2579,0.051755,0.94293,3.0082,2.3373,,
4.8825,0.031122,1.4589,3.2233,3.4027,,
14.3262,0.011721,1.9656,3.3613,2.9303,,
23.073,-0.006113,1.9204,3.6407,3.1824,,
30.8508,-0.022167,1.9246,3.9956,3.6999,,
37.593,-0.036365,2.064,3.9781,3.5881,,
43.3015,-0.048782,1.9736,3.8093,3.557,,
48.2131,-0.059584,1.9413,3.3284,3.1341,,
52.2494,-0.069072,1.9909,3.0263,2.3148,,
55.5506,-0.077617,2.1824,2.7573,2.1925,,
58.4956,-0.085635,2.395,2.3658,2.2542,,
61.3538,-0.093571,2.2834,2.2203,2.4387,,
64.3621,-0.10187,2.1463,2.2235,2.1537,,
67.6377,-0.11094,2.1993,2.149,2.0344,,
71.2505,-0.1211,2.1743,1.9648,1.8131,,
75.7175,-0.13264,1.9384,1.5947,1.5237,,
80.8492,-0.1457,1.6314,1.0908,1.2808,,
86.606,-0.16033,1.4475,0.6594,0.54977,,
93.065,-0.17649,1.3776,0.27582,0.1163,,
99.9996,-0.19402,1.4546,-0.12489,-0.17019,,
107.578,-0.21262,1.4193,-0.38373,-0.48677,,
115.7411,-0.23193,1.1494,-0.29456,-0.85056,,
123.9547,-0.25156,0.78544,-0.026181,-1.9315,,
132.2393,-0.27102,0.43066,-0.034907,-2.8617,,
140.0941,-0.28984,0.20991,-0.37806,-1.9712,,
147.1175,-0.30753,0.47056,-0.94089,-0.55677,,
153.3243,-0.32362,0.85405,-1.3273,0.46649,,
158.5508,-0.33771,1.1,-1.5814,-0.25928,,
162.8399,-0.34943,1.091,-1.9367,-1.801,,
166.1342,-0.35852,0.7894,-2.1396,-2.4563,,
167.7517,-0.36478,0.74502,-2.2355,-2.3606,,
167.9286,-0.36808,1.002,-2.4593,-1.3207,,
166.5373,-0.36838,1.3295,-2.4993,-1.7516,,
163.971,-0.36572,1.1651,-2.5833,-2.8644,,
160.3551,-0.36019,0.47837,-2.389,-2.3708,,
155.2427,-0.35191,0.088705,-2.4053,-2.5083,,
148.8311,-0.34103,0.092444,-2.5232,-2.2513,,
141.3054,-0.32774,0.35131,-2.8032,-2.1658,,
132.518,-0.31217,0.71164,-3.148,-2.5193,,
123.0879,-0.29447,0.75338,-2.8302,-2.4159,,
112.8308,-0.27473,0.51202,-2.5289,-2.2381,,
101.7779,-0.25304,0.10009,-2.1149,-1.7191,,
89.9167,-0.2294,-0.34803,-1.5924,-1.6674,,
76.9916,-0.20383,-0.47253,-1.2876,-1.6426,,
63.2253,-0.1763,-0.40943,-1.214,-1.0411,,
48.7143,-0.14675,-0.35928,-1.1532,-0.98644,,
33.1822,-0.11515,-0.41179,-1.0365,-0.74509,,
16.8831,-0.081494,-0.46428,-0.68417,-0.47033,,
-0.41366,-0.045813,-0.4892,-0.42126,-0.35674,,
-18.6029,-0.0081853,-0.52432,-0.54646,2.0615,,
-37.7965,0.031202,-0.1926,-0.60995,3.29,,
-57.8007,0.072085,0.17009,-0.17536,1.7434,,
-77.779,0.11409,-0.27784,0.65681,-2.3128,,
-97.1816,0.15674,-1.9501,0.884,-2.6982,,
-116.832,0.19944,-3.2213,0.90819,0.29899,,
-136.9814,0.24152,-2.5046,0.44667,1.3552,,
-156.722,0.28222,-1.2019,0.57366,0.92769,,
-174.7017,0.32072,-1.0474,0.31418,0.30276,,
-190.2793,0.3562,-2.2296,0.95232,0.80281,,
-204.1888,0.38782,-2.9799,1.5744,0.58179,,
-216.2366,0.4148,-2.658,1.4177,0.5369,,
-225.6687,0.43642,-2.0671,1.079,0.94162,,
-232.1436,0.45214,-1.7739,0.80573,1.3234,,
-235.0281,0.4615,-2.2461,1.0144,1.5059,,
-235.0354,0.46426,-2.3585,1.1038,1.5948,,
-231.9249,0.46039,-2.4324,1.315,0.57317,,
-225.6604,0.45004,-2.4471,1.4664,1.1535,,
-216.8239,0.43361,-2.1063,1.6938,1.7172,,
-205.332,0.4117,-1.6774,1.5921,1.0603,,
-191.4944,0.38509,-1.3758,1.0876,1.2496,,
-175.6539,0.35477,-1.5876,0.7525,0.6207,,
-158.3974,0.32182,-1.9029,0.76364,1.0885,,
-140.8938,0.28744,-1.5702,0.9501,0.7309,,
-123.3577,0.25284,-1.182,0.69026,0.71172,,
-106.0842,0.21925,-1.1284,0.75174,0.79242,,
-90.0206,0.18782,-1.1516,0.91781,0.66151,,
-75.2935,0.1596,-1.4001,0.91747,0.65808,,
-62.7841,0.13547,-1.2112,0.41544,0.03213,,
-52.6508,0.1161,-1.1158,-0.28849,-0.54585,,
-45.0331,0.10194,-0.92779,-0.88797,-0.71229,,
-40.4544,0.093172,-0.32708,-1.2027,-1.4073,,
-38.0607,0.089723,-0.59851,-0.81446,-2.6764,,
-37.7691,0.091271,-1.4096,-0.85114,-3.4779,,
-39.6726,0.09722,-2.2518,-0.87496,-2.917,,
-43.5633,0.10678,-2.3509,-1.1601,-1.8924,,
-49.0297,0.11896,-1.6913,-1.4029,-1.1894,,
-54.9598,0.13264,-1.5942,-2.0408,-0.51028,,
-60.8099,0.14663,-1.576,-2.7413,-0.66754,,
-66.4258,0.1597,-1.2349,-2.9235,-2.306,,
-70.9647,0.17066,-0.96728,-3.0635,-3.0027,,
-73.738,0.17839,-0.88648,-2.9308,-1.9139,,
-74.5286,0.18195,-0.84879,-3.1034,-0.51477,,
-73.0298,0.18057,-0.42796,-2.6655,-0.79793,,
-68.7284,0.17368,-0.14796,-2.3056,-2.6152,,
-61.2614,0.16099,-0.67225,-1.9041,-1.676,,
-50.9418,0.14246,-0.99546,-1.6221,-1.4165,,
-38.3978,0.11831,-0.58615,-1.645,-1.1949,,
-23.6473,0.08902,0.22133,-1.458,-0.61553,,
-6.8005,0.055288,1.0729,-1.3767,-1.0086,,
12.1028,0.017994,1.0194,-0.57534,-0.33824,,
32.2021,-0.021811,0.93372,-0.028695,0.26108,,
52.7618,-0.06301,1.1403,0.61117,0.6308,,
73.2191,-0.10442,1.2747,1.6384,1.2869,,
92.9298,-0.14489,1.8399,2.1432,1.6737,,
111.4433,-0.18332,2.3262,2.5972,2.3431,,
128.3443,-0.21873,2.6911,3.0458,2.5056,,
143.2418,-0.2503,3.057,3.5739,2.8708,,
155.715,-0.27738,3.3907,3.9427,3.3212,,
165.6683,-0.29956,3.8189,4.0537,2.9706,,
173.1167,-0.31661,4.1626,3.9893,3.5487,,
177.9396,-0.32853,4.2173,4.0142,3.8133,,
180.4858,-0.33554,4.0532,4.2276,3.7827,,
180.6443,-0.338,3.8853,4.4463,3.9466,,
178.7494,-0.33645,3.7382,4.4585,4.13,,
175.0534,-0.33149,3.6759,4.4683,4.3223,,
169.8128,-0.3238,3.7272,4.2788,3.8859,,
163.6855,-0.31409,3.6143,3.9188,3.2874,,
156.9367,-0.30299,3.443,3.342,2.9356,,
149.514,-0.29108,3.3391,2.6962,2.5959,,
141.9983,-0.27883,3.2701,2.1883,2.333,,
134.3579,-0.26656,3.1554,1.8561,1.8297,,
126.8474,-0.25444,2.822,1.6428,1.6406,,
119.4537,-0.2425,2.3856,1.5324,1.6949,,
111.9475,-0.23055,1.9877,1.3444,1.312,,
104.3737,-0.21835,1.6551,1.0544,1.0242,,
96.5589,-0.20549,1.3787,0.57745,0.49667,,
88.0878,-0.19152,1.0154,-0.049129,-0.060669,,
79.074,-0.17593,0.54516,-0.67174,-0.54007,,
69.0416,-0.15827,0.02887,-1.171,-1.1393,,
57.7909,-0.1381,-0.43705,-1.5064,-1.5268,,
45.2346,-0.11511,-0.86455,-1.7774,-1.8556,,
31.1731,-0.089136,-1.1841,-2.0906,-2.1284,,
15.8869,-0.060194,-1.5424,-2.318,-2.2804,,
-0.5133,-0.028498,-1.9118,-2.6011,-2.7249,,
-18.1548,0.0055402,-2.1664,-2.9041,-2.8562,,
-36.362,0.041273,-2.329,-3.3632,-3.0872,,
-54.9502,0.077893,-2.4249,-3.8074,-3.4393,,
-73.2776,0.11439,-2.632,-4.0782,-3.5191,,
-90.7638,0.14967,-2.8926,-4.2863,-3.8289,,
-106.9668,0.18254,-3.1709,-4.3679,-3.9087,,
-121.1251,0.21181,-3.4299,-4.4036,-3.9057,,
-132.713,0.2363,-3.619,-4.3588,-3.8726,,
-141.4462,0.25498,-3.7278,-4.1898,-3.8437,,
-146.7007,0.26698,-3.6783,-4.0821,-3.799,,
-148.3053,0.27162,-3.5347,-3.8853,-3.4751,,
-146.1191,0.26854,-3.2928,-3.6519,-3.0954,,
-139.997,0.25766,-2.9881,-3.3364,-2.7794,,
-130.2326,0.23921,-2.6185,-2.9542,-2.3777,,
-116.8524,0.21378,-2.2926,-2.4787,-2.0705,,
-100.3234,0.18226,-2.0183,-1.93,-1.5315,,
-81.4706,0.14582,-1.6724,-1.3109,-1.0276,,
-60.7993,0.10589,-1.2709,-0.85109,-0.73677,,
-39.3294,0.064062,-0.76457,-0.37061,-0.17907,,
-17.8539,0.022047,-0.24059,0.021871,0.22575,,
2.8977,-0.018403,0.18725,0.47691,0.69566,,
21.9021,-0.05558,0.51616,1.1893,0.69603,,
38.6968,-0.087935,0.58573,1.5103,2.1968,,
52.3733,-0.11411,0.75939,2.0312,4.0605,,
61.8729,-0.13301,1.5232,2.3497,3.121,,
67.7283,-0.14389,1.7894,2.7328,1.2633,,
69.7761,-0.14643,1.2121,2.9478,0.15139,,
67.7727,-0.14065,0.43668,3.045,0.54826,,
61.6435,-0.12701,0.1731,2.8241,2.1866,,
51.3384,-0.10638,1.0217,2.6762,2.8086,,
38.3065,-0.079965,1.7372,2.2459,1.7319,,
23.9753,-0.049314,1.1792,2.2618,1.9174,,
8.3553,-0.01618,0.44232,2.2906,1.8406,,
-7.7349,0.017505,0.28786,2.0836,1.9346,,
-23.4999,0.049751,0.63177,1.5573,1.4367,,
-37.7137,0.078614,1.0297,0.89548,0.77862,,
-48.9447,0.10228,0.69206,0.63099,0.77713,,
-56.9814,0.11918,0.36727,0.31953,0.79748,,
-61.1498,0.12802,0.29878,0.11863,0.92058,,
-60.8426,0.12793,0.17441,0.24275,0.77772,,
-56.206,0.11848,0.20021,0.35577,0.20156,,
-46.9514,0.099678,0.28251,0.25612,0.092835,,
-33.5206,0.072042,0.41796,-0.092285,-0.027138,,
-16.3963,0.036563,0.6223,-0.37935,0.083606,,
3.8572,-0.0053218,0.83574,-0.47737,0.13058,,
26.2034,-0.051828,1.0398,-0.28924,0.093613,,
49.8695,-0.10086,1.1544,0.014389,0.19477,,
73.7022,-0.15008,1.1456,0.40657,0.40403,,
96.2404,-0.19708,1.1434,0.88004,0.75657,,
116.4566,-0.23946,1.346,1.152,0.65709,,
133.073,-0.27492,1.6179,1.0217,0.60059,,
145.2365,-0.3014,1.8094,0.79021,0.79906,,
152.173,-0.31717,1.8876,0.59054,0.54056,,
153.2204,-0.32092,1.7327,0.65171,0.12303,,
148.2484,-0.31183,1.2442,0.84191,-0.10058,,
137.0722,-0.28959,0.60056,0.96231,0.015814,,
119.4163,-0.25448,0.13867,0.81189,0.23457,,
95.8726,-0.20732,0.085271,0.45619,-0.039636,,
67.1222,-0.14945,-0.057129,0.15963,-0.40152,,
34.3354,-0.082697,-0.67209,-0.2749,-0.82255,,
-1.5519,-0.0092981,-1.4251,-0.78689,-1.2532,,
-39.5983,0.06821,-1.811,-1.4761,-1.6676,,
-78.2434,0.1471,-1.785,-1.8286,-2.5027,,
-115.7412,0.22451,-1.9509,-2.1257,-3.7928,,
-150.5307,0.29764,-2.8772,-2.5314,-2.6703,,
-181.5157,0.36385,-3.59,-2.8311,-1.0201,,
-208.1814,0.42072,-3.3576,-2.926,-0.77273,,
-229.1834,0.46625,-2.8587,-2.8379,-2.2269,,
-243.3264,0.49881,-2.959,-3.2508,-3.0126,,
-250.4232,0.51738,-3.6021,-3.2439,-2.4284,,
-250.7253,0.52139,-3.6014,-3.1742,-2.4144,,
-244.3957,0.51087,-2.9253,-3.0867,-2.0374,,
-231.431,0.48646,-2.3872,-2.867,-1.8456,,
-211.9601,0.44924,-2.3427,-2.3085,-1.935,,
-186.9044,0.40082,-2.693,-1.458,-1.1088,,
-157.5273,0.34317,-2.5429,-0.79538,-0.48619,,
-124.9529,0.27858,-1.7483,-0.2316,-0.037302,,
-90.4415,0.20955,-0.72271,0.0046807,0.28358,,
-54.8121,0.13862,0.13464,-0.22938,1.8163,,
-19.531,0.068361,0.82519,0.059939,3.8405,,
13.7361,0.0011964,1.7666,0.68827,2.207,,
44.6197,-0.060684,2.0903,1.7816,0.69921,,
72.2135,-0.11539,1.5235,2.7178,0.79663,,
95.2453,-0.16142,1.137,3.509,1.5722,,
112.9399,-0.19771,1.5102,3.5575,2.1026,,
125.0845,-0.22363,2.2621,3.3594,2.4031,,
132.2709,-0.23901,2.6071,3.0193,2.4883,,
134.7719,-0.24418,2.3784,3.143,1.5387,,
132.4984,-0.23982,1.9646,2.9217,1.9296,,
125.8956,-0.22702,2.0957,3.0264,3.1595,,
115.4388,-0.20714,2.6785,2.904,1.9659,,
102.5065,-0.18173,2.7631,2.8407,2.6257,,
87.8392,-0.15252,2.5347,2.6793,2.8582,,
72.0485,-0.12125,2.2324,2.3106,2.4775,,
56.1906,-0.089613,1.8159,2.0645,2.4145,,
40.7976,-0.059193,1.6845,1.4054,1.6661,,
26.4507,-0.031381,1.5648,1.125,1.2433,,
13.9813,-0.0073097,1.4966,0.7349,0.94384,,
3.5072,0.012153,1.5915,0.33688,0.48812,,
-4.2925,0.02647,1.2571,0.17548,0.57348,,
-9.4164,0.035401,0.80674,0.032334,0.16245,,
-12.0197,0.039019,0.34094,0.15094,0.49578,,
-12.0663,0.03767,-0.099359,0.21779,0.34338,,
-9.9121,0.031936,-0.41588,0.22532,-0.23524,,
-6.1263,0.022588,-0.63404,0.041755,0.007446,,
-0.90614,0.010531,-0.64522,-0.0066798,-0.7637,,
5.0859,-0.0032825,-0.5437,0.048542,-1.79,,
11.5538,-0.017887,-0.56837,-0.1337,-2.0594,,
18.0736,-0.03237,-0.65441,-0.41873,-1.0523,,
23.8773,-0.045914,-0.374,-0.56796,-0.0857,,
28.9738,-0.057885,0.00025872,-0.78652,-0.070006,,
33.2978,-0.067797,0.090563,-0.76455,-0.21148,,
36.5029,-0.075382,-0.12388,-0.75176,-0.55337,,
38.6825,-0.080581,-0.31296,-0.65657,-1.3624,,
39.6098,-0.083501,-0.38815,-0.60784,-1.407,,
39.5507,-0.084459,-0.42158,-0.83784,-0.7129,,
38.7278,-0.083897,-0.34213,-1.1788,-0.47945,,
37.2136,-0.082351,-0.024872,-1.4936,-1.1265,,
35.7894,-0.080438,0.025566,-1.7544,-1.7629,,
34.7474,-0.078751,-0.23089,-1.9379,-1.4313,,
34.0041,-0.077856,-0.52554,-1.7947,-0.79253,,
33.7586,-0.078231,-0.2663,-1.6056,-1.5437,,
34.1888,-0.080216,0.074087,-1.6773,-1.9348,,
35.697,-0.083992,0.070206,-1.5542,-1.3464,,
38.1068,-0.08957,0.090821,-1.4728,-1.2678,,
41.2172,-0.096767,0.17185,-1.2971,-0.91575,,
44.9648,-0.10522,0.41162,-1.2493,-0.96867,,
49.2663,-0.11439,0.4566,-1.0339,-0.93619,,
53.6177,-0.12364,0.23708,-0.66649,-0.69291,,
57.6634,-0.13217,0.24632,-0.52361,-0.59631,,
60.8865,-0.13918,0.26951,-0.27997,-0.473,,
62.9908,-0.14386,0.25419,-0.073981,-0.21551,,
63.5646,-0.14543,0.36153,0.12554,0.078254,,
62.1998,-0.14322,0.51346,0.34085,0.33088,,
58.9386,-0.13674,0.49611,0.55472,0.26488,,
53.6599,-0.12565,0.26637,0.75824,0.54605,,
45.9146,-0.10986,0.11729,0.91585,0.643,,
35.9349,-0.089525,0.30979,0.91031,0.70198,,
23.7601,-0.065011,0.62746,0.82396,0.79932,,
10.0128,-0.036968,0.61973,0.54983,1.0209,,
-4.8788,-0.0062324,0.3215,0.24181,2.5557,,
-20.9039,0.026158,0.41236,0.18281,2.2714,,
-37.1647,0.059035,0.6096,0.29713,0.19708,,
-52.6313,0.091126,0.14033,0.52002,-1.0024,,
-67.0289,0.12116,-0.70481,0.55247,-0.60077,,
-79.8324,0.14789,-1.1333,0.66835,0.35617,,
-90.872,0.17016,-0.89331,0.61008,0.72688,,
-99.2734,0.18697,-0.57606,0.436,0.63558,,
-104.2342,0.19757,-0.82466,0.31219,0.65787,,
-105.8559,0.20143,-1.2608,0.46115,0.17702,,
-104.119,0.1983,-1.3459,0.35572,0.075046,,
