"Force","Voltage","Acceleration1","Acceleration2","Acceleration3","Fs",
-6.1152,0.018079,0.013253,0.094966,0.1337,400,
-10.5308,0.028047,0.019298,0.15542,0.2042,,
-14.8254,0.037672,0.035174,0.21885,0.26707,,
-18.7193,0.046642,0.04123,0.28095,0.34052,,
-22.2524,0.054633,0.053684,0.34449,0.41057,,
-25.1074,0.061375,0.080367,0.40529,0.4706,,
-27.1916,0.066659,0.10901,0.46695,0.54268,,
-28.5977,0.070316,0.14155,0.53018,0.6104,,
-29.0653,0.072255,0.17776,0.5977,0.66993,,
-28.7794,0.072461,0.20574,0.67208,0.74054,,
-27.7479,0.070963,0.25143,0.74547,0.79748,,
-25.8965,0.067874,0.30132,0.81688,0.85783,,
-23.4952,0.063347,0.34763,0.88602,0.9193,,
-20.4664,0.057595,0.40085,0.94777,0.96279,,
-16.933,0.050862,0.44269,1.0082,1.0062,,
-13.2023,0.043411,0.48575,1.0653,1.0421,,
-9.1875,0.035507,0.5359,1.1058,1.0656,,
-5.2125,0.027425,0.57039,1.1414,1.0799,,
-1.3818,0.019407,0.60257,1.1627,1.0849,,
2.3516,0.011671,0.62144,1.1683,1.0775,,
5.6828,0.0043959,0.63569,1.1604,1.0553,,
8.7451,-0.0022953,0.65245,1.1329,1.013,,
11.5051,-0.0083141,0.63944,1.0917,0.97322,,
13.7635,-0.013636,0.63283,1.0367,0.90248,,
15.772,-0.018288,0.61495,0.96555,0.83141,,
17.3797,-0.022345,0.58269,0.88004,0.76178,,
18.6524,-0.025907,0.55818,0.77998,0.65502,,
19.8055,-0.029106,0.51332,0.67014,0.55141,,
20.7169,-0.032115,0.47719,0.55267,0.4459,,
21.6662,-0.03509,0.43501,0.42224,0.32192,,
22.7272,-0.038196,0.39954,0.29201,0.20078,,
23.82,-0.041594,0.35467,0.15986,0.081894,,
25.2257,-0.045408,0.31844,0.029951,-0.035805,,
26.8041,-0.049729,0.27503,-0.094727,-0.14981,,
28.6046,-0.054632,0.25284,-0.21848,-0.2721,,
30.7773,-0.060123,0.21648,-0.33573,-0.37169,,
33.1262,-0.066188,0.18017,-0.44063,-0.47007,,
35.7893,-0.072751,0.16411,-0.54492,-0.56734,,
38.7378,-0.079728,0.14871,-0.63535,-0.65382,,
41.7054,-0.086971,0.14709,-0.71284,-0.72252,,
44.8621,-0.09433,0.14996,-0.78009,-0.78308,,
47.9408,-0.10164,0.14849,-0.83345,-0.8299,,
50.8573,-0.10869,0.15519,-0.86906,-0.86907,,
53.6484,-0.11532,0.15672,-0.8985,-0.88951,,
56.0543,-0.12135,0.16987,-0.91549,-0.89875,,
58.1725,-0.12664,0.19192,-0.922,-0.91206,,
59.947,-0.13103,0.21038,-0.91861,-0.89611,,
61.144,-0.13444,0.22742,-0.90255,-0.87534,,
61.9655,-0.13679,0.24941,-0.8814,-0.85167,,
62.1947,-0.13803,0.26475,-0.84637,-0.8108,,
61.8446,-0.13814,0.29026,-0.80365,-0.76148,,
61.0379,-0.13714,0.30344,-0.75159,-0.69945,,
